Fold,Validation Timestack,Accuracy,Loss
1,SW_20231113_1346_GX010081.npy,87.75401711463928,0.2883385121822357
2,SW_20231113_1346_GX020081.npy,88.32504749298096,0.31381312012672424
3,SW_20231113_1346_GX030081.npy,88.75276446342468,0.27944663166999817
4,SW_20231114_0850_GX010084.npy,89.75794911384583,0.2639594078063965
5,SW_20231114_0850_GX020084.npy,92.29440093040466,0.19841799139976501
6,SW_20231114_0850_GX030084.npy,93.04416179656982,0.18126143515110016
7,SW_20231114_0850_GX040084.npy,91.22450351715088,0.22882063686847687
8,SW_20231114_0850_GX050084.npy,92.66219139099121,0.20217859745025635
9,SW_20231114_0850_GX060084.npy,94.43802237510681,0.15355372428894043
