Fold,Validation Timestack,Accuracy,Loss
1,SW_20231113_1346_GX010081.npy,91.92594289779663,0.1875382661819458
2,SW_20231113_1346_GX020081.npy,90.92906713485718,0.2128410041332245
3,SW_20231113_1346_GX030081.npy,90.06980061531067,0.2298162877559662
4,SW_20231114_0850_GX010084.npy,92.95538067817688,0.1888173222541809
5,SW_20231114_0850_GX020084.npy,94.61840391159058,0.1370411217212677
6,SW_20231114_0850_GX030084.npy,94.55475211143494,0.1430676430463791
7,SW_20231114_0850_GX040084.npy,92.4566388130188,0.22832179069519043
8,SW_20231114_0850_GX050084.npy,94.12376284599304,0.14892911911010742
9,SW_20231114_0850_GX060084.npy,94.55763697624207,0.14162945747375488
